z,n,name,decayModes,abundance
38,57,95Sr,B- = 100.00,NaN
38,58,96Sr,B- = 100.00,NaN
38,59,97Sr,B- = 100.00,NaN
38,59,97Sr,BN LE 0.05,NaN
38,50,88Sr,NaN,82.58%
38,51,89Sr,B- = 100.00,NaN
38,52,90Sr,B- = 100.00,NaN
38,53,91Sr,B- = 100.00,NaN
38,54,92Sr,B- = 100.00,NaN
38,55,93Sr,B- = 100.00,NaN
38,45,83Sr,EC = 100.00,NaN
38,45,83Sr,IT = 100.00,NaN
38,46,84Sr,NaN,0.56%
38,47,85Sr,EC = 100.00,NaN
38,47,85Sr,IT = 86.60,NaN
38,47,85Sr,EC = 13.40,NaN
38,48,86Sr,NaN,9.86%
38,49,87Sr,NaN,7.00%
38,49,87Sr,IT = 99.70,7.00%
38,49,87Sr,EC = 0.30,7.00%
38,40,78Sr,EC = 100.00,NaN
38,41,79Sr,EC = 100.00,NaN
38,42,80Sr,EC = 100.00,NaN
38,43,81Sr,EC = 100.00,NaN
38,44,82Sr,EC = 100.00,NaN
38,35,73Sr,EC = 100.00,NaN
38,35,73Sr,EP AP 0.00,NaN
38,36,74Sr,EC = 100.00,NaN
38,36,74Sr,EP ? ,NaN
38,37,75Sr,EC = 100.00,NaN
38,37,75Sr,EP = 5.20,NaN
38,38,76Sr,EC = 100.00,NaN
38,38,76Sr,EP = 3.4E-5,NaN
38,39,77Sr,EC = 100.00,NaN
38,39,77Sr,EP LT 0.25,NaN
39,69,108Y,B- = 100.00,NaN
39,69,108Y,BN ? ,NaN
39,69,108Y,B2N ? ,NaN
39,68,107Y,B- = 100.00,NaN
39,68,107Y,B2N ? ,NaN
39,68,107Y,BN ? ,NaN
39,61,100Y,B- = 100.00,NaN
39,61,100Y,BN = 0.92,NaN
39,61,100Y,B- = 100.00,NaN
39,60,99Y,B- = 100.00,NaN
39,60,99Y,BN = 1.70,NaN
39,63,102Y,B- = 100.00,NaN
39,63,102Y,BN = 4.90,NaN
39,63,102Y,B- = 100.00,NaN
39,63,102Y,BN = 4.90,NaN
39,62,101Y,B- = 100.00,NaN
39,62,101Y,BN = 1.94,NaN
39,65,104Y,B- = 100.00,NaN
39,65,104Y,BN = 34.00,NaN
39,65,104Y,B2N ? ,NaN
39,64,103Y,B- = 100.00,NaN
39,64,103Y,BN = 8.00,NaN
39,67,106Y,B- = 100.00,NaN
39,67,106Y,BN ? ,NaN
39,67,106Y,B2 N ?,NaN
39,66,105Y,B- = 100.00,NaN
39,66,105Y,BN LT 82.00,NaN
39,66,105Y,B2N ? ,NaN
39,70,109Y,B- = 100.00,NaN
39,70,109Y,BN ? ,NaN
39,70,109Y,B2N ? ,NaN
39,58,97Y,B- = 100.00,NaN
39,58,97Y,BN = 0.06,NaN
39,58,97Y,B- AP 99.30,NaN
39,58,97Y,IT LT 0.70,NaN
39,58,97Y,BN LT 0.08,NaN
39,58,97Y,IT = 98.40,NaN
39,58,97Y,B- = 1.60,NaN
39,57,96Y,B- = 100.00,NaN
39,57,96Y,B- = 100.00,NaN
39,59,98Y,B- = 100.00,NaN
39,59,98Y,BN = 0.33,NaN
39,59,98Y,B- AP 80.00,NaN
39,59,98Y,IT LT 20.00,NaN
39,59,98Y,BN = 3.40,NaN
39,50,89Y,NaN,100%
39,50,89Y,IT = 100.00,100%
39,52,91Y,B- = 100.00,NaN
39,52,91Y,IT AP 100.00,NaN
39,52,91Y,B- LT 1.50,NaN
39,51,90Y,B- = 100.00,NaN
39,51,90Y,IT = 100.00,NaN
39,51,90Y,B- = 1.8E-3,NaN
39,54,93Y,B- = 100.00,NaN
39,54,93Y,IT = 100.00,NaN
39,53,92Y,B- = 100.00,NaN
39,56,95Y,B- = 100.00,NaN
39,55,94Y,B- = 100.00,NaN
39,47,86Y,EC = 100.00,NaN
39,47,86Y,IT = 99.31,NaN
39,47,86Y,EC = 0.69,NaN
39,46,85Y,EC = 100.00,NaN
39,46,85Y,EC = 100.00,NaN
39,46,85Y,IT LT 2.0E-3,NaN
39,49,88Y,EC = 100.00,NaN
39,48,87Y,EC = 100.00,NaN
39,48,87Y,IT = 98.43,NaN
39,48,87Y,EC = 1.57,NaN
39,41,80Y,EC = 100.00,NaN
39,41,80Y,EP  ,NaN
39,41,80Y,IT = 81.00,NaN
39,41,80Y,EC = 19.00,NaN
39,40,79Y,EC = 100.00,NaN
39,40,79Y,EP ? ,NaN
39,43,82Y,EC = 100.00,NaN
39,42,81Y,EC = 100.00,NaN
39,45,84Y,EC = 100.00,NaN
39,45,84Y,EC = 100.00,NaN
39,44,83Y,EC = 100.00,NaN
39,44,83Y,EC = 60.00,NaN
39,44,83Y,IT = 40.00,NaN
39,36,75Y,NaN,NaN
39,38,77Y,EC = 100.00,NaN
39,38,77Y,EP  ,NaN
39,38,77Y,P  ,NaN
39,37,76Y,EC  ,NaN
39,37,76Y,P  ,NaN
39,39,78Y,EC = 100.00,NaN
39,39,78Y,EP  ,NaN
39,39,78Y,EC = 100.00,NaN
39,39,78Y,EP  ,NaN
40,69,109Zr,B- = 100.00,NaN
40,69,109Zr,BN ? ,NaN
40,69,109Zr,B2N ? ,NaN
40,68,108Zr,B- = 100.00,NaN
40,68,108Zr,BN  ,NaN
40,67,107Zr,B- = 100.00,NaN
40,67,107Zr,BN LE 23.00,NaN
40,66,106Zr,B- = 100.00,NaN
40,66,106Zr,BN LE 7.00,NaN
40,61,101Zr,B- = 100.00,NaN
40,60,100Zr,B- = 100.00,NaN
40,65,105Zr,B- = 100.00,NaN
40,65,105Zr,BN LE 2.00,NaN
40,64,104Zr,B- = 100.00,NaN
40,64,104Zr,BN LE 1.00,NaN
40,63,103Zr,B- = 100.00,NaN
40,63,103Zr,BN LE 1.00,NaN
40,62,102Zr,B- = 100.00,NaN
40,58,98Zr,B- = 100.00,NaN
40,57,97Zr,B- = 100.00,NaN
40,56,96Zr,2B-  ,2.80%
40,55,95Zr,B- = 100.00,NaN
40,59,99Zr,B- = 100.00,NaN
40,50,90Zr,NaN,51.45%
40,50,90Zr,IT = 100.00,51.45%
40,54,94Zr,NaN,17.38%
40,53,93Zr,B- = 100.00,NaN
40,52,92Zr,NaN,17.15%
40,51,91Zr,NaN,11.22%
40,47,87Zr,EC = 100.00,NaN
40,47,87Zr,IT = 100.00,NaN
40,46,86Zr,EC = 100.00,NaN
40,45,85Zr,EC = 100.00,NaN
40,45,85Zr,IT LT 100.00,NaN
40,45,85Zr,EC AP 0.00,NaN
40,44,84Zr,EC = 100.00,NaN
40,49,89Zr,EC = 100.00,NaN
40,49,89Zr,IT = 93.77,NaN
40,49,89Zr,EC = 6.23,NaN
40,48,88Zr,EC = 100.00,NaN
40,48,88Zr,IT = 100.00,NaN
40,43,83Zr,EC = 100.00,NaN
40,43,83Zr,EP ? ,NaN
40,42,82Zr,EC = 100.00,NaN
40,41,81Zr,EC = 100.00,NaN
40,41,81Zr,EP = 0.12,NaN
40,40,80Zr,EC = 100.00,NaN
40,40,80Zr,EP  ,NaN
40,39,79Zr,EC = 100.00,NaN
40,39,79Zr,EP  ,NaN
40,38,78Zr,EC  ,NaN
40,37,77Zr,NaN,NaN
40,72,112Zr,B- = 100.00,NaN
40,72,112Zr,BN  ,NaN
40,72,112Zr,B2N  ,NaN
40,71,111Zr,B- = 100.00,NaN
40,71,111Zr,BN ? ,NaN
40,71,111Zr,B2N ? ,NaN
40,70,110Zr,B- = 100.00,NaN
40,70,110Zr,BN ? ,NaN
40,70,110Zr,B2N ? ,NaN
40,73,113Zr,NaN,NaN
41,39,80Nb,NaN,NaN
41,38,79Nb,NaN,NaN
41,73,114Nb,B- = 100.00,NaN
41,73,114Nb,BN ? ,NaN
41,73,114Nb,B2N ? ,NaN
41,72,113Nb,B- = 100.00,NaN
41,72,113Nb,BN ? ,NaN
41,72,113Nb,B2N ? ,NaN
41,71,112Nb,B- = 100.00,NaN
41,70,111Nb,B-  ,NaN
41,75,116Nb,NaN,NaN
41,74,115Nb,B- = 100.00,NaN
41,74,115Nb,BN ? ,NaN
41,74,115Nb,B2N ? ,NaN
41,69,110Nb,B- = 100.00,NaN
41,69,110Nb,BN = 40.00,NaN
41,68,109Nb,B- = 100.00,NaN
41,68,109Nb,BN LT 15.00,NaN
41,67,108Nb,B- = 100.00,NaN
41,67,108Nb,BN = 6.30,NaN
41,67,108Nb,B2N ? ,NaN
41,67,108Nb,IT = 100.00,NaN
41,62,103Nb,B- = 100.00,NaN
41,61,102Nb,B- = 100.00,NaN
41,61,102Nb,B- = 100.00,NaN
41,60,101Nb,B- = 100.00,NaN
41,66,107Nb,B- = 100.00,NaN
41,66,107Nb,BN = 8.00,NaN
41,65,106Nb,B- = 100.00,NaN
41,65,106Nb,BN = 4.50,NaN
41,65,106Nb,IT = 100.00,NaN
41,64,105Nb,B- = 100.00,NaN
41,64,105Nb,BN = 1.70,NaN
41,63,104Nb,B- = 100.00,NaN
41,63,104Nb,BN = 0.06,NaN
41,63,104Nb,B- = 100.00,NaN
41,63,104Nb,BN = 0.05,NaN
41,59,100Nb,B- = 100.00,NaN
41,59,100Nb,B- = 100.00,NaN
41,58,99Nb,B- = 100.00,NaN
41,58,99Nb,B- AP 96.20,NaN
41,58,99Nb,IT LT 3.80,NaN
41,57,98Nb,B- = 100.00,NaN
41,57,98Nb,B- = 99.90,NaN
41,57,98Nb,IT LT 0.20,NaN
41,56,97Nb,B- = 100.00,NaN
41,56,97Nb,IT = 100.00,NaN
41,51,92Nb,EC = 100.00,NaN
41,51,92Nb,B- LT 0.05,NaN
41,51,92Nb,EC = 100.00,NaN
41,50,91Nb,EC = 100.00,NaN
41,50,91Nb,IT = 96.60,NaN
41,50,91Nb,EC = 3.40,NaN
41,55,96Nb,B- = 100.00,NaN
41,54,95Nb,B- = 100.00,NaN
41,54,95Nb,IT = 94.40,NaN
41,54,95Nb,B- = 5.60,NaN
41,53,94Nb,B- = 100.00,NaN
41,53,94Nb,IT = 99.50,NaN
41,53,94Nb,B- = 0.50,NaN
41,52,93Nb,NaN,100%
41,52,93Nb,IT = 100.00,100%
41,48,89Nb,EC = 100.00,NaN
41,48,89Nb,EC = 100.00,NaN
41,47,88Nb,EC = 100.00,NaN
41,47,88Nb,EC = 100.00,NaN
41,46,87Nb,EC = 100.00,NaN
41,46,87Nb,EC = 100.00,NaN
41,45,86Nb,EC = 100.00,NaN
41,49,90Nb,EC = 100.00,NaN
41,49,90Nb,IT = 100.00,NaN
41,40,81Nb,EC  ,NaN
41,44,85Nb,EC = 100.00,NaN
41,44,85Nb,IT  ,NaN
41,44,85Nb,EC  ,NaN
41,43,84Nb,EC = 100.00,NaN
41,43,84Nb,EP  ,NaN
41,42,83Nb,EC = 100.00,NaN
41,41,82Nb,EC = 100.00,NaN
41,41,82Nb,EP  ,NaN
42,70,112Mo,B- = 100.00,NaN
42,75,117Mo,B- ? 100.00,NaN
42,75,117Mo,BN ? ,NaN
42,75,117Mo,B2N ? ,NaN
42,76,118Mo,B- ? 100.00,NaN
42,76,118Mo,BN ? ,NaN
42,76,118Mo,B2N ? ,NaN
42,77,119Mo,NaN,NaN
42,71,113Mo,B- = 100.00,NaN
42,71,113Mo,BN ? ,NaN
42,72,114Mo,B- = 100.00,NaN
42,72,114Mo,BN ? ,NaN
42,73,115Mo,B- = 100.00,NaN
42,73,115Mo,BN ? ,NaN
42,73,115Mo,B2N ? ,NaN
42,74,116Mo,B- = 100.00,NaN
42,74,116Mo,BN ? ,NaN
42,74,116Mo,2BN ? ,NaN
42,68,110Mo,B- = 100.00,NaN
42,68,110Mo,BN = 2.00,NaN
42,69,111Mo,B- = 100.00,NaN
42,69,111Mo,BN LT 12.00,NaN
42,64,106Mo,B- = 100.00,NaN
42,65,107Mo,B- = 100.00,NaN
42,66,108Mo,B- = 100.00,NaN
42,66,108Mo,BN LT 0.50,NaN
42,67,109Mo,B- = 100.00,NaN
42,67,109Mo,BN = 1.30,NaN
42,60,102Mo,B- = 100.00,NaN
42,61,103Mo,B- = 100.00,NaN
42,62,104Mo,B- = 100.00,NaN
42,63,105Mo,B- = 100.00,NaN
42,57,99Mo,B- = 100.00,NaN
42,58,100Mo,2B- = 100.00,9.82%
42,59,101Mo,B- = 100.00,NaN
42,53,95Mo,NaN,15.84%
42,54,96Mo,NaN,16.67%
42,55,97Mo,NaN,9.60%
42,56,98Mo,NaN,24.39%
42,50,92Mo,NaN,14.53%
42,51,93Mo,EC = 100.00,NaN
42,51,93Mo,IT = 99.88,NaN
42,51,93Mo,EC = 0.12,NaN
42,52,94Mo,NaN,9.15%
42,46,88Mo,EC = 100.00,NaN
42,47,89Mo,EC = 100.00,NaN
42,47,89Mo,IT = 100.00,NaN
42,48,90Mo,EC = 100.00,NaN
42,49,91Mo,EC = 100.00,NaN
42,49,91Mo,EC = 50.00,NaN
42,49,91Mo,IT = 50.00,NaN
42,42,84Mo,EC = 100.00,NaN
42,42,84Mo,EP  ,NaN
42,43,85Mo,EP AP 0.14,NaN
42,43,85Mo,EC  ,NaN
42,44,86Mo,EC = 100.00,NaN
42,45,87Mo,EC = 100.00,NaN
42,45,87Mo,EP = 15.00,NaN
42,40,82Mo,EC ? ,NaN
42,40,82Mo,EP ? ,NaN
42,41,83Mo,EC = 100.00,NaN
42,39,81Mo,EC ? ,NaN
42,39,81Mo,EP ? ,NaN
43,58,101Tc,B- = 100.00,NaN
43,59,102Tc,B- = 100.00,NaN
43,59,102Tc,B- = 98.00,NaN
43,59,102Tc,IT = 2.00,NaN
43,54,97Tc,EC = 100.00,NaN
43,54,97Tc,IT = 96.06,NaN
43,54,97Tc,EC = 3.94,NaN
43,55,98Tc,B- = 100.00,NaN
43,56,99Tc,B- = 100.00,NaN
43,56,99Tc,IT = 100.00,NaN
43,56,99Tc,B- = 3.7E-3,NaN
43,57,100Tc,B- = 100.00,NaN
43,57,100Tc,EC = 2.6E-3,NaN
43,50,93Tc,EC = 100.00,NaN
43,50,93Tc,IT = 77.40,NaN
43,50,93Tc,EC = 22.60,NaN
43,51,94Tc,EC = 100.00,NaN
43,51,94Tc,EC = 100.00,NaN
43,51,94Tc,IT LT 0.10,NaN
43,52,95Tc,EC = 100.00,NaN
43,52,95Tc,EC = 96.12,NaN
43,52,95Tc,IT = 3.88,NaN
43,53,96Tc,EC = 100.00,NaN
43,53,96Tc,IT = 98.00,NaN
43,53,96Tc,EC = 2.00,NaN
43,47,90Tc,EC = 100.00,NaN
43,47,90Tc,EC = 100.00,NaN
43,48,91Tc,EC = 100.00,NaN
43,48,91Tc,EC = 100.00,NaN
43,48,91Tc,IT LT 1.00,NaN
43,49,92Tc,EC = 100.00,NaN
43,43,86Tc,EC = 100.00,NaN
43,43,86Tc,EP ? ,NaN
43,44,87Tc,EC = 100.00,NaN
43,45,88Tc,EC = 100.00,NaN
43,45,88Tc,EC = 100.00,NaN
43,46,89Tc,EC = 100.00,NaN
43,46,89Tc,EC = 100.00,NaN
43,46,89Tc,IT LT 0.01,NaN
43,40,83Tc,NaN,NaN
43,41,84Tc,NaN,NaN
43,42,85Tc,P ? ,NaN
43,70,113Tc,B- = 100.00,NaN
43,70,113Tc,BN = 2.10,NaN
43,70,113Tc,IT = 2.10,NaN
43,71,114Tc,B- = 100.00,NaN
43,71,114Tc,BN ? ,NaN
43,71,114Tc,B- = 100.00,NaN
43,71,114Tc,BN ? ,NaN
43,76,119Tc,B- = 100.00,NaN
43,76,119Tc,BN ? ,NaN
43,76,119Tc,B2N ? ,NaN
43,77,120Tc,B- = 100.00,NaN
43,77,120Tc,BN ? ,NaN
43,77,120Tc,B2N ? ,NaN
43,78,121Tc,B- = 100.00,NaN
43,78,121Tc,BN ? ,NaN
43,78,121Tc,B2N ? ,NaN
43,79,122Tc,NaN,NaN
43,72,115Tc,B- = 100.00,NaN
43,72,115Tc,BN ? ,NaN
43,73,116Tc,B- = 100.00,NaN
43,74,117Tc,B- = 100.00,NaN
43,74,117Tc,BN ? ,NaN
43,74,117Tc,2BN ? ,NaN
43,75,118Tc,B- = 100.00,NaN
43,75,118Tc,BN ? ,NaN
43,75,118Tc,B2N ? ,NaN
43,69,112Tc,B- = 100.00,NaN
43,69,112Tc,BN = 4.00,NaN
43,60,103Tc,B- = 100.00,NaN
43,65,108Tc,B- = 100.00,NaN
43,66,109Tc,B- = 100.00,NaN
43,66,109Tc,BN = 0.08,NaN
43,67,110Tc,B- = 100.00,NaN
43,67,110Tc,BN = 0.04,NaN
43,68,111Tc,B- = 100.00,NaN
43,68,111Tc,BN = 0.85,NaN
43,61,104Tc,B- = 100.00,NaN
43,62,105Tc,B- = 100.00,NaN
43,63,106Tc,B- = 100.00,NaN
43,64,107Tc,B- = 100.00,NaN
44,81,125Ru,NaN,NaN
44,80,124Ru,B- = 100.00,NaN
44,80,124Ru,BN ? ,NaN
44,80,124Ru,B2N ? ,NaN
44,70,114Ru,B- = 100.00,NaN
44,72,116Ru,B- = 100.00,NaN
44,72,116Ru,B- ? ,NaN
44,71,115Ru,B- = 100.00,NaN
44,71,115Ru,B- = 100.00,NaN
44,71,115Ru,BN  ,NaN
44,78,122Ru,B- = 100.00,NaN
44,78,122Ru,BN ? ,NaN
44,78,122Ru,2BN ? ,NaN
44,77,121Ru,B- = 100.00,NaN
44,77,121Ru,BN ? ,NaN
44,77,121Ru,B2N ? ,NaN
44,79,123Ru,B- = 100.00,NaN
44,79,123Ru,BN ? ,NaN
44,79,123Ru,B2N ? ,NaN
44,74,118Ru,B- = 100.00,NaN
44,74,118Ru,B- = 100.00,NaN
44,74,118Ru,BN ? ,NaN
44,73,117Ru,B- = 100.00,NaN
44,73,117Ru,IT = 100.00,NaN
44,76,120Ru,B- = 100.00,NaN
44,76,120Ru,BN  ,NaN
44,75,119Ru,B- = 100.00,NaN
44,75,119Ru,BN ? ,NaN
44,75,119Ru,B2N ? ,NaN
44,75,119Ru,IT = 100.00,NaN
44,61,105Ru,B- = 100.00,NaN
44,60,104Ru,NaN,18.62%
44,67,111Ru,B- = 100.00,NaN
44,66,110Ru,B- = 100.00,NaN
44,69,113Ru,B- = 100.00,NaN
44,69,113Ru,B- = 100.00,NaN
44,68,112Ru,B- = 100.00,NaN
44,63,107Ru,B- = 100.00,NaN
44,62,106Ru,B- = 100.00,NaN
44,65,109Ru,B- = 100.00,NaN
44,64,108Ru,B- = 100.00,NaN
44,59,103Ru,B- = 100.00,NaN
44,50,94Ru,EC = 100.00,NaN
44,56,100Ru,NaN,12.60%
44,55,99Ru,NaN,12.76%
44,58,102Ru,NaN,31.55%
44,57,101Ru,NaN,17.06%
44,52,96Ru,NaN,5.54%
44,51,95Ru,EC = 100.00,NaN
44,54,98Ru,NaN,1.87%
44,53,97Ru,EC = 100.00,NaN
44,49,93Ru,EC = 100.00,NaN
44,49,93Ru,EC = 78.00,NaN
44,49,93Ru,IT = 22.00,NaN
44,49,93Ru,EP = 0.03,NaN
44,48,92Ru,EC = 100.00,NaN
44,45,89Ru,EC = 100.00,NaN
44,45,89Ru,EP = 3.00,NaN
44,44,88Ru,EC = 100.00,NaN
44,44,88Ru,EC ? ,NaN
44,47,91Ru,EC = 100.00,NaN
44,47,91Ru,EP AP 0.00,NaN
44,47,91Ru,EC AP 0.00,NaN
44,47,91Ru,IT  ,NaN
44,46,90Ru,EC = 100.00,NaN
44,41,85Ru,EC ? ,NaN
44,41,85Ru,EPC ? ,NaN
44,41,85Ru,P ? ,NaN
44,43,87Ru,EC ? ,NaN
44,42,86Ru,EC ? ,NaN
44,42,86Ru,EPC ? ,NaN
45,82,127Rh,B- = 100.00,NaN
45,82,127Rh,B2N ? ,NaN
45,82,127Rh,BN ? ,NaN
45,81,126Rh,B- = 100.00,NaN
45,81,126Rh,B2N ? ,NaN
45,81,126Rh,BN ? ,NaN
45,83,128Rh,NaN,NaN
45,80,125Rh,B- = 100.00,NaN
45,80,125Rh,BN ? ,NaN
45,80,125Rh,B2N ? ,NaN
45,71,116Rh,B- = 100.00,NaN
45,71,116Rh,B- = 100.00,NaN
45,70,115Rh,B- = 100.00,NaN
45,73,118Rh,B- = 100.00,NaN
45,73,118Rh,BN = 3.10,NaN
45,72,117Rh,B- = 100.00,NaN
45,79,124Rh,B- = 100.00,NaN
45,79,124Rh,BN ? ,NaN
45,79,124Rh,B2N ? ,NaN
45,78,123Rh,B- = 100.00,NaN
45,78,123Rh,B2N ? ,NaN
45,78,123Rh,BN ? ,NaN
45,75,120Rh,B- = 100.00,NaN
45,75,120Rh,BN LT 5.40,NaN
45,75,120Rh,IT = 100.00,NaN
45,74,119Rh,B- = 100.00,NaN
45,74,119Rh,BN = 6.40,NaN
45,77,122Rh,B- = 100.00,NaN
45,77,122Rh,BN ? ,NaN
45,77,122Rh,B2N ? ,NaN
45,77,122Rh,IT = 100.00,NaN
45,76,121Rh,B- = 100.00,NaN
45,76,121Rh,BN  ,NaN
45,60,105Rh,B- = 100.00,NaN
45,60,105Rh,IT = 100.00,NaN
45,62,107Rh,B- = 100.00,NaN
45,61,106Rh,B- = 100.00,NaN
45,61,106Rh,B- = 100.00,NaN
45,68,113Rh,B- = 100.00,NaN
45,67,112Rh,B- = 100.00,NaN
45,67,112Rh,B- = 100.00,NaN
45,69,114Rh,B- = 100.00,NaN
45,69,114Rh,B- = 100.00,NaN
45,64,109Rh,B- = 100.00,NaN
45,63,108Rh,B- = 100.00,NaN
45,63,108Rh,B- = 100.00,NaN
45,63,108Rh,IT  ,NaN
45,66,111Rh,B- = 100.00,NaN
45,65,110Rh,B- = 100.00,NaN
45,65,110Rh,B- = 100.00,NaN
45,51,96Rh,EC = 100.00,NaN
45,51,96Rh,IT = 60.00,NaN
45,51,96Rh,EC = 40.00,NaN
45,50,95Rh,EC = 100.00,NaN
45,50,95Rh,IT = 88.00,NaN
45,50,95Rh,EC = 12.00,NaN
45,57,102Rh,EC = 78.00,NaN
45,57,102Rh,B- = 22.00,NaN
45,57,102Rh,EC = 99.77,NaN
45,57,102Rh,IT = 0.23,NaN
45,56,101Rh,EC = 100.00,NaN
45,56,101Rh,EC = 92.80,NaN
45,56,101Rh,IT = 7.20,NaN
45,59,104Rh,B- = 99.55,NaN
45,59,104Rh,EC = 0.45,NaN
45,59,104Rh,IT = 99.87,NaN
45,59,104Rh,B- = 0.13,NaN
45,58,103Rh,NaN,100%
45,58,103Rh,IT = 100.00,100%
45,53,98Rh,EC = 100.00,NaN
45,53,98Rh,IT = 89.00,NaN
45,53,98Rh,EC = 11.00,NaN
45,52,97Rh,EC = 100.00,NaN
45,52,97Rh,EC = 94.40,NaN
45,52,97Rh,IT = 5.60,NaN
45,55,100Rh,EC = 100.00,NaN
45,55,100Rh,IT AP 98.30,NaN
45,55,100Rh,EC AP 1.70,NaN
45,54,99Rh,EC = 100.00,NaN
45,54,99Rh,EC AP 99.84,NaN
45,54,99Rh,IT LT 0.16,NaN
45,49,94Rh,EC = 100.00,NaN
45,49,94Rh,EP = 1.80,NaN
45,49,94Rh,EC = 100.00,NaN
45,46,91Rh,EC = 100.00,NaN
45,46,91Rh,EP = 1.35,NaN
45,46,91Rh,EC ? ,NaN
45,46,91Rh,IT ? ,NaN
45,45,90Rh,EC ? ,NaN
45,45,90Rh,EC ? ,NaN
45,48,93Rh,EC = 100.00,NaN
45,47,92Rh,EP = 100.00,NaN
45,47,92Rh,EC = 100.00,NaN
45,47,92Rh,EC = 100.00,NaN
45,44,89Rh,EC ? ,NaN
45,44,89Rh,P ? ,NaN
45,43,88Rh,NaN,NaN
46,83,129Pd,NaN,NaN
46,82,128Pd,B- = 100.00,NaN
46,82,128Pd,BN ? ,NaN
46,82,128Pd,IT = 100.00,NaN
46,85,131Pd,NaN,NaN
46,84,130Pd,NaN,NaN
46,81,127Pd,B- = 100.00,NaN
46,81,127Pd,BN ? ,NaN
46,80,126Pd,B- = 100.00,NaN
46,80,126Pd,BN ? ,NaN
46,80,126Pd,IT = 100.00,NaN
46,80,126Pd,IT = 100.00,NaN
46,80,126Pd,B- = 72.00,NaN
46,80,126Pd,IT = 28.00,NaN
46,72,118Pd,B- = 100.00,NaN
46,71,117Pd,B- = 100.00,NaN
46,74,120Pd,B- = 100.00,NaN
46,74,120Pd,BN ? ,NaN
46,73,119Pd,B- = 100.00,NaN
46,70,116Pd,B- = 100.00,NaN
46,79,125Pd,B- = 100.00,NaN
46,79,125Pd,BN ? ,NaN
46,76,122Pd,B- = 97.50,NaN
46,76,122Pd,BN LE 2.50,NaN
46,75,121Pd,B- = 100.00,NaN
46,75,121Pd,BN LE 0.80,NaN
46,78,124Pd,B- = 100.00,NaN
46,78,124Pd,IT = 100.00,NaN
46,77,123Pd,B- = 100.00,NaN
46,77,123Pd,BN ? ,NaN
46,61,107Pd,B- = 100.00,NaN
46,61,107Pd,IT = 100.00,NaN
46,60,106Pd,NaN,27.33%
46,63,109Pd,B- = 100.00,NaN
46,63,109Pd,IT = 100.00,NaN
46,62,108Pd,NaN,26.46%
46,69,115Pd,B- = 100.00,NaN
46,69,115Pd,B- = 92.00,NaN
46,69,115Pd,IT = 8.00,NaN
46,68,114Pd,B- = 100.00,NaN
46,65,111Pd,B- = 100.00,NaN
46,65,111Pd,IT = 73.00,NaN
46,65,111Pd,B- = 27.00,NaN
46,64,110Pd,NaN,11.72%
46,67,113Pd,B- = 100.00,NaN
46,67,113Pd,IT = 100.00,NaN
46,66,112Pd,B- = 100.00,NaN
46,50,96Pd,EC = 100.00,NaN
46,52,98Pd,EC = 100.00,NaN
46,51,97Pd,EC = 100.00,NaN
46,58,104Pd,NaN,11.14%
46,57,103Pd,EC = 100.00,NaN
46,59,105Pd,NaN,22.33%
46,54,100Pd,EC = 100.00,NaN
46,53,99Pd,EC = 100.00,NaN
46,56,102Pd,NaN,1.02%
46,55,101Pd,EC = 100.00,NaN
46,47,93Pd,EC = 100.00,NaN
46,47,93Pd,EP  ,NaN
46,46,92Pd,EC = 100.00,NaN
46,49,95Pd,EC = 100.00,NaN
46,49,95Pd,EC = 89.00,NaN
46,49,95Pd,IT = 11.00,NaN
46,49,95Pd,EP = 0.93,NaN
46,48,94Pd,EC = 100.00,NaN
46,45,91Pd,EC ? ,NaN
46,44,90Pd,NaN,NaN
47,85,132Ag,B- = 100.00,NaN
47,85,132Ag,BN ? ,NaN
47,85,132Ag,B2N ? ,NaN
47,86,133Ag,NaN,NaN
47,83,130Ag,B- = 100.00,NaN
47,83,130Ag,BN ? ,NaN
47,83,130Ag,B2N ? ,NaN
47,84,131Ag,B- = 100.00,NaN
47,84,131Ag,BN ? ,NaN
47,84,131Ag,B2N ? ,NaN
47,81,128Ag,B- = 100.00,NaN
47,81,128Ag,BN ? ,NaN
47,82,129Ag,B- = 100.00,NaN
47,82,129Ag,BN AP 0.00,NaN
47,82,129Ag,BN AP 0.00,NaN
47,82,129Ag,B- ? ,NaN
47,80,127Ag,B- = 100.00,NaN
47,74,121Ag,B- = 100.00,NaN
47,74,121Ag,BN = 0.08,NaN
47,75,122Ag,B- = 99.80,NaN
47,75,122Ag,BN = 0.20,NaN
47,75,122Ag,B-  ,NaN
47,75,122Ag,IT  ,NaN
47,75,122Ag,BN  ,NaN
47,75,122Ag,B-  ,NaN
47,75,122Ag,BN  ,NaN
47,72,119Ag,B- = 100.00,NaN
47,72,119Ag,B- = 100.00,NaN
47,73,120Ag,B- = 100.00,NaN
47,73,120Ag,BN LT 3.0E-3,NaN
47,73,120Ag,B- AP 63.00,NaN
47,73,120Ag,IT AP 37.00,NaN
47,70,117Ag,B- = 100.00,NaN
47,70,117Ag,B- = 94.00,NaN
47,70,117Ag,IT = 6.00,NaN
47,71,118Ag,B- = 100.00,NaN
47,71,118Ag,B- = 59.00,NaN
47,71,118Ag,IT = 41.00,NaN
47,78,125Ag,B- = 100.00,NaN
47,78,125Ag,BN ? ,NaN
